title,description,symbol,sentiment_score
Peter Thiel Dumps Nvidia and Slashes Tesla Stake—Is the AI Bubble About to Pop?,"Market Analysis by  covering: NVIDIA Corporation, Tesla Inc. Read 's Market Analysis on Investing.com",AAPL,0.9163
OpenAI teams up with Foxconn to develop AI infrastructure hardware in US. Details here,"OpenAI is partnering with Foxconn to design and manufacture data center hardware in the US, aiming to meet rising AI infrastructure demands. This collaboration includes developing server racks and other essential equipment.",AAPL,0.6908
"‘High convinction’: Red Mountain boosts Idaho, USA Yellow Pine Antimony Project by 75%",Red Mountain has increased by 75% its overall U.S. prospective antimony acreage footprint with a major claim acquired in Idaho.,AAPL,0.5719
"Nvidia’s Blockbuster Earnings Propel Midday Rally, Major Indexes Soar","The U.S. stock market experienced a significant upswing in midday trading on Thursday, November 20, 2025, largely propelled by a stellar earnings report from",MSFT,0.8271
Bill Gates Just Dumped 65% of His Microsoft Stock. Should You Sell?,"Microsoft co-founder (NASDAQ:MSFT) Bill Gates once held the vast majority of his personal wealth in the company’s shares. Over decades, he gradually reduced his direct ownership through sales and massive donations to philanthropy. The Bill & Melinda Gates Foundation Trust — now called the Gates Foundation Trust after his ex-wife resigned from the organization — ... Bill Gates Just Dumped 65% of His Microsoft Stock. Should You Sell?",MSFT,0.308843
Evaluating Microsoft Against Peers In Software Industry - Microsoft (NASDAQ:MSFT),,MSFT,0.207163
Ross Gerber Praises Tesla FSD V14 Improvements: Piper Sandler Analyst Predicts Over 25% Upside For TSLA Stock - Tesla (NASDAQ:TSLA),Investor Ross Gerber hails Tesla's FSD v14 for its improvements over the previous iteration despite facing mapping issues.,GOOG,0.34
Nvidia earnings clear lofty hurdle set by analysts amid fears about an AI bubble,Nvidia’s sales of the computing chips powering the artificial intelligence craze surged beyond the lofty bar set by stock market analysts in a performance that mingle ease recent jitters about a Big Tech boom turning into a bust that topples the...,GOOG,0.5267
AI Is Catalyzing A New Era Of Expansion For Alphabet Stock (NASDAQ:GOOG),"Alphabet’s AI-driven growth in search, YouTube, and cloud signals a strong buy. See more on GOOG stock's key Q3 2025 results and investment insights.",GOOG,0.0
Peter Thiel Dumps Nvidia and Slashes Tesla Stake—Is the AI Bubble About to Pop?,"Market Analysis by  covering: NVIDIA Corporation, Tesla Inc. Read 's Market Analysis on Investing.com",AMZN,0.9163
Paramount Wins Surprise Bid for UEFA Champions League Rights,"Paramount Skydance Corp. has won the bid for the television rights for the Champions League in the UK and Germany, according to a person familiar with the matter, marking the first time the US media group has made a major international sporting push.",AMZN,0.34
Understanding Amazon.com's Position In Broadline Retail Industry Compared To Competitors - Amazon.com (NASDAQ:AMZN),,AMZN,0.211257
"Tesla To Expand Rental Program Across Multiple US Cities With Unlimited Miles, Free Supercharging From $60/Day - Tesla (NASDAQ:TSLA)","Tesla is reportedly expanding its in-house rental program, offering $60/day rentals for Model 3 and Model Y, across multiple cities.",TSLA,0.388733
Peter Thiel Dumps Nvidia and Slashes Tesla Stake—Is the AI Bubble About to Pop?,"Market Analysis by  covering: NVIDIA Corporation, Tesla Inc. Read 's Market Analysis on Investing.com",TSLA,0.285975
"Tesla Rival Lucid Falls 6% To All-Time Low Amid $79,900 Gravity SUV Rollout, Earnings Miss - Lucid Group (NASDAQ:LCID)",Lucid Group stock (LCID) fell to an all-time low on Thursday amid new affordable Gravity Touring SUV reveal and missed earnings estimates.,TSLA,-0.03095
CNBC Daily Open: Investors suffer from whiplash as AI stocks gyrate,"Nvidia CEO Jensen Huang's rejection of the AI bubble narrative seemed to reassured investors initially, but their concerns couldn't be repressed for long.",NVDA,0.4196
Nasdaq Dips Over 2% Despite Nvidia's Earnings Beat: Fear & Greed Index Remains In 'Extreme Fear' Zone - NVIDIA (NASDAQ:NVDA),"U.S. stocks closed lower on Thursday due to a risk-off mood in the market, with the Fear and Greed index showing an increase in fear levels.",NVDA,-0.0767
Peter Thiel Dumps Nvidia and Slashes Tesla Stake—Is the AI Bubble About to Pop?,"Market Analysis by  covering: NVIDIA Corporation, Tesla Inc. Read 's Market Analysis on Investing.com",NVDA,0.46956
Meta reaches $190 million settlement over privacy violations,Meta reaches $190 million settlement over privacy violations,META,-0.836
Meta: CapEx Fears Are Way Overblown (NASDAQ:META),"Meta Platforms’ strong user growth, better ad metrics, and attractive valuation offer a compelling investment. Click to read my latest analysis of META stock.",META,0.2281
Comparative Study: Meta Platforms And Industry Competitors In Interactive Media & Services Industry - Meta Platforms (NASDAQ:META),,META,0.196667
"BFGoodrich Tires, Paramount+ partner on Season 2 of ""Landman""","BFGoodrich Tires, the pioneer of peak off-road driving performance, today announced a product integration partnership with Paramount+ and the hit TV series Landman, which returned for its second season on Nov. 16. New episodes of Landman, starring Oscar® winner Billy Bob Thornton, are available to stream every Sunday.",NFLX,0.4767
Netflix (NFLX) Down 1.5% Since Last Earnings Report: Can It Rebound?,Netflix (NFLX) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,NFLX,0.0
Why Jack In The Box Stock Popped Today,Investors looked past a weak quarter as the fast-food chain leaned harder into its turnaround plan.,NFLX,0.0
Why Lithium Americas Could Be a 2030 Power Play—Not a 2025 One,Market Analysis by  covering: Lithium Americas Corp. Read 's Market Analysis on Investing.com,JPM,0.5106
DoorDash Expands Beyond Food With Deliveroo Integration and New AI Partnership,Market Analysis by  covering: DoorDash Inc. Read 's Market Analysis on Investing.com,JPM,0.5994
A Hedge Against AI Crash Emerges as Oracle CDS Market Explodes,"Oracle Corp., the once stodgy database giant that’s borrowed tens of billions and tethered its fortunes to the artificial intelligence boom, is quickly emerging as the credit market’s barometer for AI risk.",JPM,-0.3612
Berkshire Hathaway May Not Come Back,"Warren Buffett soon departs Berkshire Hathaway as CEO. His replacement, Greg Abel, is no Warren Buffett. Will Berkshire Hathaway ever be the same?",BAC,-0.1137
The Tech Rotation Is On and Dividend-Paying Blue-Chips Are the Winners,These six top blue-chip dividend stocks remain outstanding ideas for investors seeking to move away from tech stocks.,BAC,0.1779
Investors Heavily Search Bank of America Corporation (BAC): Here is What You Need to Know,"Recently, Zacks.com users have been paying close attention to Bank of America (BAC). This makes it worthwhile to examine what the stock has in store.",BAC,0.0
Nasdaq Dips Over 2% Despite Nvidia's Earnings Beat: Fear & Greed Index Remains In 'Extreme Fear' Zone - NVIDIA (NASDAQ:NVDA),"U.S. stocks closed lower on Thursday due to a risk-off mood in the market, with the Fear and Greed index showing an increase in fear levels.",WMT,0.1027
Walmart Warns Tariffs May Still Cause Price Hikes For Everyday Items Despite Some 'Relief' On Food Inflation - Walmart (NYSE:WMT),Walmart Q3: Executives see 'relief' in food inflation but warn tariffs may cause price hikes on household items.,WMT,0.03495
Wall Street drops as Nvidia rally fades and US jobs data fuels volatility,"Wall Street reversed sharply after an early Nvidia-led rally faded, with tech stocks dragging indices lower as mixed U.S. jobs data raised uncertainty over Fed rate cuts.",WMT,0.0516
"NIKE, Inc. (NKE) is Attracting Investor Attention: Here is What You Should Know","Zacks.com users have recently been watching Nike (NKE) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",NKE,0.4767
Estée Lauder CFO on driving a turnaround led by consumer-first innovation,Akhil Shrivastava discusses strategy and leadership lessons.,NKE,0.0
"Nike: Strong Brand And Solid Business, But Unlikely To Outperform The Benchmark (NYSE:NKE)","Get insights on Nike's stock valuation, recent earnings, and future outlook. Learn why NKE may face limited upside and if it's time to hold or reassess.",NKE,0.5994
"Use this 60-second exercise to spark creativity at work, says former Disney innovation head","Duncan Wardle, the former head of innovation and creativity at Disney, uses",DIS,0.7964
The Walt Disney Company (DIS) Presents at Wells Fargo's 9th Annual TMT Summit Transcript,"The Walt Disney Company (DIS) Wells Fargo's 9th Annual TMT Summit November 19, 2025 11:00 AM ESTCompany ParticipantsHugh Johnston - Senior Executive VP...",DIS,0.25
Here’s Why The Walt Disney Company (DIS) Declined in Q3,"Cullen Capital Management, LLC, operating under the name Schafer Cullen Capital Management, Inc. (SCCM), has released its “SCCM Value Equity Strategy” third-quarter investor letter.",DIS,0.0
"Trai faces tough call before spectrum auction amid operators' rift over usage, costs, new frequencies","Trai faces challenges regarding the upcoming spectrum auction, with Big Tech and telecom companies in disagreement over the use and pricing of radio spectrum. Key issues include when to auction the 6 GHz band, price reductions, and spectrum caps.",INTC,0.2011
Nvidia’s rising stock price takes fellow chip giants along for the ride as renewed AI enthusiasm fuels fresh rally,"AMD, Arm, and Broadcom are among the chip companies whose shares are up in premarket trading after Nvidia's earnings eased fears of an AI bubble.",INTC,0.0
Intel: Renewed AI CPU Monetization Prospects - Premature Rally (NASDAQ:INTC),"Intel's AI CPU growth, NVIDIA partnership, and x86 market focus drive long-term value, despite near-term volatility.",INTC,0.22455
"Freeport-McMoRan, Cisco And Teradyne: CNBC’s ‘Final Trades’ - Cisco Systems (NASDAQ:CSCO), Freeport-McMoRan (NYSE:FCX)","Freeport-McMoRan, Cisco, Teradyne and McKesson each get a shoutout on the latest edition of CNBC's 'Final Trades.'",CSCO,0.03395
"Cisco (CSCO)’s A “Cheap, Inexpensive Data Center Play,” Says Jim Cramer","We recently published 8 Stocks Jim Cramer Discussed & Mentioned An Important Quantum Computing Development. Cisco Systems Inc. (NASDAQ:CSCO) is one of the stocks Jim Cramer discussed. Cisco Systems Inc. (NASDAQ:CSCO) also reported earnings the day this show was aired. Ahead of the release, Cramer had asserted that the stock was cheap and its valuation […]",CSCO,0.2202
Nvidia's Jensen Huang needs investors to party like it’s not 1999,"Amid rising fears of an AI bubble, Nvidia's stock is under scrutiny, echoing the turbulent period of the dot-com crash that led to years of market stagnation. While Nvidia has impressive earnings projections, major hurdles remain, compounded by big investors selling off their stakes and the struggles of firms like CoreWeave.",CSCO,-0.5994
Wall Street Gives Up on High-Yield Stocks,"When the AI bubble bursts, Altria will look like a pretty good investment again. It has paid out billions in dividends over the years, and that is unlikely to stop.",PFE,0.0258
Pfizer: Is This Pharma Giant Finally A Bargain (NYSE:PFE),"Discover why Pfizer stock may be set for a bull run by 2026 with key wins, strong Q3 earnings, and growth drivers.",PFE,0.2023
Pfizer Inc. (PFE) Presents at Jefferies London Healthcare Conference 2025 Transcript,"Pfizer Inc. (PFE) Jefferies London Healthcare Conference 2025 November 19, 2025 4:00 AM ESTCompany ParticipantsDavid Denton - Executive VP &...",PFE,0.0
"Exact Sciences Corporation (EXAS) Abbott Laboratories, - M&A Call - Slideshow (NASDAQ:EXAS) 2025-11-20",2025-11-20. The following slide deck was published by Exact Sciences Corporation in conjunction with this event.,ABT,0.0
"Why Eaton's CFO change isn't a red flag — plus, Palo Alto's buzzy new deal","The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",ABT,0.34
Abbott’s $21 Billion Exact Sciences Deal Fills Void Of Lost Covid Test Sales,Abbott Laboratories $21 billion deal to acquire cancer test maker Exact Sciences could bolster the company’s diagnostic division that has lost sales from COVID tests.,ABT,-0.7792
CNBC Daily Open: Investors suffer from whiplash as AI stocks gyrate,"Nvidia CEO Jensen Huang's rejection of the AI bubble narrative seemed to reassured investors initially, but their concerns couldn't be repressed for long.",ORCL,0.1208
CNBC Daily Open: From AI enthusiasm to bubble worries in one day,"Nvidia CEO Jensen Huang's rejection of the AI bubble narrative seemed to reassured investors initially, but their concerns couldn't be repressed for long.",ORCL,0.1208
The Tech Rotation Is On and Dividend-Paying Blue-Chips Are the Winners,These six top blue-chip dividend stocks remain outstanding ideas for investors seeking to move away from tech stocks.,ORCL,0.8176
